PIW,CPR,LTV,DTI,FICO,Refi,SATO,SMM,AOL
1,13.397,83.68,38.11,709,0.38,0.86,1.19,248753.16
0,28.611,69.34,37.71,730,0.58,0.43,2.77,340263.27
0,48.572,70.38,38.95,709,1.17,0.64,5.39,322509.71
0,18.455,70.06,33.6,756,0.38,0.07,1.69,326497.53
1,13.06,86.23,38.38,701,0.87,1.14,1.16,232606
1,15.434,85.78,38.53,700,0.87,1.34,1.39,223410.54
0,27.545,70.83,38.2,715,0.57,0.53,2.65,332476.72
1,21.117,85.26,37.07,759,0.35,-0.33,1.96,313278.69
1,22.609,70.52,39.2,683,1.13,1.59,2.11,252898.8
0,39.818,68.73,37.68,734,1.08,0.37,4.14,332941.8
0,57.165,66.14,34.38,754,0.62,0.1,6.82,340248.5
0,44.807,68.31,37.28,735,0.9,0.33,4.83,328784.45
0,31.531,68.95,37.85,729,0.67,0.46,3.11,342757.74
0,56.262,70.43,36.17,758,1.09,0.01,6.66,328883.87
0,46.142,71.14,38.51,717,1.08,0.6,5.03,323066.3
0,18.441,67.73,35.27,757,0.36,0.08,1.68,344654.98
1,12.38,82.61,37.85,720,0.4,0.7,1.1,264021.86
0,57.81,67.79,37.15,737,1.07,0.3,6.94,322829.86
1,16.639,82.16,36.33,744,0.43,0.25,1.51,259559.97
0,63.254,70.87,36.54,752,1.12,0.06,8,331280.58
1,12.322,85.39,38.72,700,0.85,1.37,1.09,223347
0,45.396,70.18,35.99,762,0.92,-0.01,4.92,325445.46
1,51.037,84.84,37.55,759,0.86,-0.29,5.78,303570.66
0,23.507,70.05,38.42,716,0.64,0.5,2.21,332112.93
1,17.967,82.06,36.48,743,0.57,0.28,1.64,261914.82
0,50.632,66.55,35.54,743,0.82,0.26,5.71,330738.67
1,9.874,85.61,38.81,700,0.88,1.4,0.86,225972.79
0,31.761,66.45,33.93,760,0.39,-0.01,3.13,357800.04
1,7.083,84.28,38.2,701,0.66,1.18,0.61,230177.72
0,32.404,68.32,37.59,714,0.65,0.52,3.21,334406.71
0,33.797,68.08,35.85,753,0.59,0.11,3.38,335226.66
1,17.322,70.76,37.54,689,0.85,1.26,1.57,250720.05
0,49.749,69.49,37.81,727,1.15,0.42,5.57,331837.33
1,27.54,82.13,36.07,757,0.36,-0.17,2.65,277056.18
0,32.728,68.33,36.73,745,0.86,0.25,3.25,324696.29
1,30.133,82.33,37.28,728,1.13,0.55,2.94,262816.97
0,60.945,71.68,35.87,760,0.6,-0.14,7.54,372459.36
0,13.456,69.58,35.2,724,0.39,0.36,1.2,322585.68
0,48.381,66.59,33.93,766,0.4,-0.05,5.36,348739.78
1,6.615,91.33,41.01,702,1.13,1.49,0.57,236989.12
0,31.848,67.6,36.15,732,0.64,0.36,3.14,339027.87
0,35.568,84.93,34.97,755,0.37,0.1,3.6,393191.36
1,24.408,82.83,37.91,711,0.91,0.89,2.3,250870.03
0,40.056,66.97,34.97,746,0.63,0.21,4.17,344229.9
0,52.784,72.08,35.52,762,0.65,-0.18,6.06,387427.89
1,10.366,83.62,38.33,699,0.91,1.27,0.91,234737.24
1,9.958,90.91,40.76,704,1.15,1.43,0.87,236143.71
0,48.639,66.81,34.61,762,0.57,0.03,5.4,338687.62
0,42.54,68.89,37.31,740,1.15,0.32,4.51,327226.1
0,37.472,70.17,35.77,764,0.85,0,3.84,327506.2
0,21.242,69.42,34.09,745,0.38,0.18,1.97,321878.22
0,35.58,67.59,36.63,731,0.6,0.4,3.6,337107.01
1,20.823,70.82,37.48,687,0.82,1.28,1.93,249862.51
0,58.276,67.52,36.09,747,0.83,0.22,7.03,330223.19
1,10.891,84.39,38.25,700,0.84,1.23,0.96,230505.69
0,48.05,66.09,34.31,759,0.57,0.04,5.31,352411.35
0,43.864,68.16,37.28,729,0.87,0.4,4.7,334030.1
0,28.258,68.58,36.11,752,0.84,0.18,2.73,324303.55
1,16.26,82.81,38.02,715,0.59,0.78,1.47,261990.72
1,45.625,72.43,35.04,767,0.59,-0.4,4.95,353399.98
1,13.45,86.12,38.09,707,0.89,0.9,1.2,253481.83
1,23.601,83.22,39.34,700,1.18,1.4,2.22,230379.72
1,20.901,70.54,37.22,697,0.84,1.14,1.93,242223.89
