HPI,Rates,UE,FICO,Age,RollRate
-5,-2.5,3.5,650,12,1.726516076
0,-2.5,3.5,650,12,1.347318277
5,-2.5,3.5,650,12,1.08169781
10,-2.5,3.5,650,12,0.904053051
15,-2.5,3.5,650,12,0.788254929
20,-2.5,3.5,650,12,0.696301146
-50,-2.5,4.5,650,12,8.880518208
-45,-2.5,4.5,650,12,8.742274216
-40,-2.5,4.5,650,12,8.676637449
-35,-2.5,4.5,650,12,7.47449058
-30,-2.5,4.5,650,12,7.383744265
-25,-2.5,4.5,650,12,7.014379556
-20,-2.5,4.5,650,12,6.176530987
-10,-2.5,4.5,650,12,5.098184936
-5,-2.5,4.5,650,12,4.458955191
0,-2.5,4.5,650,12,3.844165881
5,-2.5,4.5,650,12,3.333965059
10,-2.5,4.5,650,12,2.946121397
15,-2.5,4.5,650,12,2.674436816
20,-2.5,4.5,650,12,2.441616631
-50,-2.5,5,650,12,8.691246771
-45,-2.5,5,650,12,8.751332307
-40,-2.5,5,650,12,7.449690626
-35,-2.5,5,650,12,7.860079807
-30,-2.5,5,650,12,8.148131429
-25,-2.5,5,650,12,8.21322041
-20,-2.5,5,650,12,7.353294167
-10,-2.5,5,650,12,6.387953112
-5,-2.5,5,650,12,5.87888983
0,-2.5,5,650,12,5.284682329
5,-2.5,5,650,12,4.711557727
10,-2.5,5,650,12,4.247948889
15,-2.5,5,650,12,3.904601615
20,-2.5,5,650,12,3.624420187
-50,-2.5,7.5,650,12,7.976222529
-45,-2.5,7.5,650,12,9.236036869
-40,-2.5,7.5,650,12,8.146294584
-35,-2.5,7.5,650,12,7.266365917
-30,-2.5,7.5,650,12,8.401933841
-25,-2.5,7.5,650,12,7.649263974
-20,-2.5,7.5,650,12,6.982983555
-10,-2.5,7.5,650,12,7.144916844
-5,-2.5,7.5,650,12,7.536917483
0,-2.5,7.5,650,12,8.027485283
5,-2.5,7.5,650,12,7.424655328
10,-2.5,7.5,650,12,7.951351469
15,-2.5,7.5,650,12,7.609431421
20,-2.5,7.5,650,12,7.303128489
-50,-2,0,650,12,0.671308393
-45,-2,0,650,12,0.486515601
-40,-2,0,650,12,0.370963069
-35,-2,0,650,12,0.292802808
-30,-2,0,650,12,0.236702924
-25,-2,0,650,12,0.19287956
-20,-2,0,650,12,0.158733188
-10,-2,0,650,12,0.105943383
-5,-2,0,650,12,0.085977815
0,-2,0,650,12,0.070778466
5,-2,0,650,12,0.059536073
10,-2,0,650,12,0.051523459
15,-2,0,650,12,0.045720002
20,-2,0,650,12,0.041026439
-50,-2,0.5,650,12,0.850602155
-45,-2,0.5,650,12,0.610662273
-40,-2,0.5,650,12,0.462950387
-35,-2,0.5,650,12,0.364100267
-30,-2,0.5,650,12,0.293942273
-25,-2,0.5,650,12,0.239367282
-20,-2,0.5,650,12,0.196990873
-10,-2,0.5,650,12,0.132006355
-5,-2,0.5,650,12,0.106983073
0,-2,0.5,650,12,0.087834759
5,-2,0.5,650,12,0.073594878
10,-2,0.5,650,12,0.063454761
15,-2,0.5,650,12,0.056219904
20,-2,0.5,650,12,0.050365907
-50,-2,1,650,12,1.175417127
-45,-2,1,650,12,0.830260961
-40,-2,1,650,12,0.623367132
-35,-2,1,650,12,0.487267349
-30,-2,1,650,12,0.392181958
-25,-2,1,650,12,0.318746869
-20,-2,1,650,12,0.262070569
-10,-2,1,650,12,0.176076364
-5,-2,1,650,12,0.142423521
0,-2,1,650,12,0.116560253
5,-2,1,650,12,0.097242364
10,-2,1,650,12,0.083511845
15,-2,1,650,12,0.073861579
20,-2,1,650,12,0.066051302
-50,-2,1.5,650,12,1.817679104
-45,-2,1.5,650,12,1.245836623
-40,-2,1.5,650,12,0.91923004
-35,-2,1.5,650,12,0.710631931
-30,-2,1.5,650,12,0.568311049
-25,-2,1.5,650,12,0.459826163
-20,-2,1.5,650,12,0.376989292
-10,-2,1.5,650,12,0.253154173
-5,-2,1.5,650,12,0.204187127
0,-2,1.5,650,12,0.166480595
5,-2,1.5,650,12,0.138255484
10,-2,1.5,650,12,0.118257903
15,-2,1.5,650,12,0.104398332
20,-2,1.5,650,12,0.093184077
-50,-2,2.5,650,12,4.718044821
-45,-2,2.5,650,12,3.55046923
-40,-2,2.5,650,12,2.75983421
-35,-2,2.5,650,12,2.062247333
-30,-2,2.5,650,12,1.580617557
-25,-2,2.5,650,12,1.241181651
-20,-2,2.5,650,12,0.996539681
-10,-2,2.5,650,12,0.653532659
-5,-2,2.5,650,12,0.520672195
0,-2,2.5,650,12,0.419714173
5,-2,2.5,650,12,0.344830007
10,-2,2.5,650,12,0.292499694
15,-2,2.5,650,12,0.257115959
20,-2,2.5,650,12,0.228589364
-50,-2,3.5,650,12,7.808038074
